25-11-27 13:01:00.586 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
25-11-27 13:01:00.618 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-11-27 13:01:00.623 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-11-27 13:01:00.623 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14] 
25-11-27 13:01:00.792 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 3960 ms 
25-11-27 13:01:01.685 [cluster-ClusterId{value='6927fe35a33060d62af6c72f', description='Cluster0'}-srv-cluster0.wvsmtpa.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-trbh4oa-shard-00-01.wvsmtpa.mongodb.net:27017 to client view of cluster 
25-11-27 13:01:01.776 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync", "version": "5.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/24.0.2+12-54"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='youdontnomesonnn_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@273fa9e, com.mongodb.Jep395RecordCodecProvider@527a8665, com.mongodb.KotlinCodecProvider@7ab2a07e, EnumCodecProvider{}]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.wvsmtpa.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ywwdtd-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
25-11-27 13:01:01.805 [cluster-ClusterId{value='6927fe35a33060d62af6c72f', description='Cluster0'}-srv-cluster0.wvsmtpa.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-trbh4oa-shard-00-00.wvsmtpa.mongodb.net:27017 to client view of cluster 
25-11-27 13:01:01.807 [cluster-ClusterId{value='6927fe35a33060d62af6c72f', description='Cluster0'}-srv-cluster0.wvsmtpa.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-trbh4oa-shard-00-02.wvsmtpa.mongodb.net:27017 to client view of cluster 
25-11-27 13:01:03.058 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation createIndexes with ID 5. Remaining time: 29972 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-trbh4oa-shard-00-01.wvsmtpa.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-trbh4oa-shard-00-00.wvsmtpa.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-trbh4oa-shard-00-02.wvsmtpa.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
25-11-27 13:01:03.677 [cluster-ClusterId{value='6927fe35a33060d62af6c72f', description='Cluster0'}-ac-trbh4oa-shard-00-01.wvsmtpa.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-trbh4oa-shard-00-01.wvsmtpa.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1012996800, minRoundTripTimeNanos=0, setName='atlas-ywwdtd-shard-0', canonicalAddress=ac-trbh4oa-shard-00-01.wvsmtpa.mongodb.net:27017, hosts=[ac-trbh4oa-shard-00-00.wvsmtpa.mongodb.net:27017, ac-trbh4oa-shard-00-02.wvsmtpa.mongodb.net:27017, ac-trbh4oa-shard-00-01.wvsmtpa.mongodb.net:27017], passives=[], arbiters=[], primary='ac-trbh4oa-shard-00-02.wvsmtpa.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=40, topologyVersion=TopologyVersion{processId=691cf233bdfe55e318699f11, counter=3}, lastWriteDate=Thu Nov 27 13:01:02 IST 2025, lastUpdateTimeNanos=506588672713700} 
